"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Amazon Customer","","Verified Purchase","Colour: Black | Size name: 4GB RAM & 64GB Storage","B08XJCMGL7","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJCMGL7/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","May 08, 2021","India","After using this mobile for 2 months I would say its an ordinary mobile for adults who are average users. As i said its an average mobile, good call clarity and user interface. Overall mobile is quite slow (you wont feel like its 4G RAM) even the contact search will take few seconds. Camera is below average 48 mega pixel is not upto the mark (I have used 48 mega pixek redmi note 7 pro) video clarity is very bad, selfie camera is the worst. Macro lens is not clear. Irrespective of the apps you use it will be slow. I don't play games but for sure its not suitable for playing heavy games. Battery is good will come for more than 2.5 days with normal usage. Best for elders. Display is okay. Side mounted finger print sensor is cool. Price is quite high with the above drawbacks.","","Average mobile","1","https://www.amazon.in/gp/profile/amzn1.account.AEM27IJ63JFDXZKC6CES2PPI6MYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=12&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R1H8ZDKRD6QKYD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","R S NITHIN KISHORE","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","April 17, 2021","India","I don't know why Amazon is compromising on its quality to deliver product's, its evident nowadays, Recently I have got Samsung M12 product on 7 April 2021 the exchange date is 14 April 2021 ,Now after 7 days this phone display is gone , there is a blur continously in the screen,","","Samsung M12 Mobile Phone Problem","6","https://www.amazon.in/gp/profile/amzn1.account.AFD4D22LBAGMUWESBBDX5VRXQRKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=7&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R3HVO2QA2UGSWF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Mahesh Kumar","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","March 28, 2021","India","Battery life is so good and camera quality is average like 13 mp. Front camera is like 2 mp. Fingerprint reader working without touch finger. When we hold in hand then finger print reader trust to read any part of hand so it was problem. Processing system is very low. And in this mobile internet speed very slow. And in low network it's internet not worked. Only show processing.","","Processing speed very slow and internet working is very bad.","2","https://www.amazon.in/gp/profile/amzn1.account.AGIUH5C3D2KNAICRRSXLFKMRFWUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=16&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R39PIO1E7UPMNH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Sameer shaikh","","Verified Purchase","Colour: Blue | Size name: 6GB RAM & 128GB Storage","B08XJG8MQM","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJG8MQM/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","October 04, 2021","India","I have faced at least 2 bugs while using this phone in whatsapp, 1. after capturing image send button was not available on the screen 2. I was not able to send messages to anyone while my other apps were working fine which uses internet connection samsung and whatsapp developer please look into this camera quality is average or near to poor","","whatsapp is not compatible and camera is low quality","1","https://www.amazon.in/gp/profile/amzn1.account.AGBLD5THINVI33QJTGPRJBGFHYGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=18&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R2BIDB7SQ2L9YP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","David","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","May 02, 2021","India","Pros: Great Battery Life. Upto 2 days minimum. Great Camera. Superior smoothness in usability 4GB RAM for multitasking. Built and feel of the phone. I use the phone primarily for clicking product photos for my website, and business calls. On a personal level, a powerful battery and camera saves me time and gives me a hassle free experience. I use all sorts of video and image editing apps that requires a lot of ram usage and the phone has never crashed so far. Also does well for gaming. Hard core gaming may be sluggish. But for the price perspective, this phone is all you ever need. Cons: Face Detection for unlocking — takes atleast 3 seconds to react. The fingerprint sensor is comparatively faster. But both is a little annoying at times.","","Affordable, Battery lasting, and a Camera Gem!","","https://www.amazon.in/gp/profile/amzn1.account.AFJDFD5JPA6MMOB7R3SOJMRMBUVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=20&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R3RPBGBPZDQAL6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Priya Salian","","Verified Purchase","","","","5.0","March 21, 2021","India","In this budget, it has exceeded all expectations .. I have primarily taken this phone for the battery and so far not disappointed","","super awesome 👌","271","https://www.amazon.in/gp/profile/amzn1.account.AHM4MRMDUZ7TT5X7QNOQ4FJCYSTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=1&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R53PKD1B19D1P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","dileep boddeti","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","2.0","June 01, 2021","India","Simply you better to skip this phone I break my old screen so suddenly I need to buy I brought this because I get it in good price but after I receive I realized it's simple useless 🤣 my old 3gb ram phone (I brought in 2018) 100 times better than this it's easily struck most of time touch doesn't working screen just break because I sleep on it you can't play pubg in it no games you can't use much outside in summer or do work much it's easily shut down phone easily over heat many problems .. people who need phone for simple thing like calling watching YouTube better to buy this","","Not worth it","","https://www.amazon.in/gp/profile/amzn1.account.AFLMLHBJ726DBCVBRU76HK4QUP2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=12&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R2P7VMYFCEFW0Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Prakash","","Verified Purchase","Colour: Blue | Size name: 6GB RAM & 128GB Storage","B08XJG8MQM","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJG8MQM/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","September 16, 2021","India","Worst Phone I have ever Seen with this price. Nothing is good except battery. Camera quality is very poor, Phone is very heavy, Sound quality is very poor. I will never recommend to anyone to buy Samsung Phone. One of my friend had recommended to go with Samsung phone. I think he has no idea about the quality of phone.","","Worst Phone I have ever Seen with this price.","","https://www.amazon.in/gp/profile/amzn1.account.AHI3MPFFQJAWI5YTMKL5C6XSPACA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=26&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R1VV21S4UMJ77C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Amazon Customer","","Verified Purchase","Colour: White | Size name: 4GB RAM & 64GB Storage","B08XJGNQS7","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJGNQS7/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","September 30, 2021","India","I had bought this phone for my mom and it had severe call quality issues from the beginning and within 6 months of using it the fingerprint stopped working. I checked with the service centre and they told me that the phone had liquid damage although it never had contact with water or rain. Stay away from this garbage.","","Pathetic Product from Samsung","1","https://www.amazon.in/gp/profile/amzn1.account.AFVCBMOO3MO25K7EAMRMA56YTY4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=25&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R7RRWGU7K9GC4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Bosky","","Verified Purchase","Colour: Blue | Size name: 6GB RAM & 128GB Storage","B08XJG8MQM","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJG8MQM/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","March 21, 2021","India","The phone hangs a lot and is very slow. I received a replacement which continues to hang","","Slow performance","132","https://www.amazon.in/gp/profile/amzn1.account.AFGRYTL27ZG36ORDSWNKTOPIUQ7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=1&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R2EVB2KG65X6SA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
